code,event,finished,id,match_date_time,team_a,team_a_score,team_h,team_h_score,season
2444470,1,True,1,2024-08-16 19:00:00+00:00,9,0,14,1,2024/2025
2444482,2,True,13,2024-08-24 11:30:00+00:00,14,1,5,2,2024/2025
2444496,3,True,27,2024-09-01 15:00:00+00:00,12,3,14,0,2024/2025
2444507,4,True,38,2024-09-14 11:30:00+00:00,14,3,17,0,2024/2025
2444512,5,True,43,2024-09-21 16:30:00+00:00,14,0,7,0,2024/2025
2444526,6,True,57,2024-09-29 15:30:00+00:00,18,3,14,0,2024/2025
2444531,7,True,62,2024-10-06 13:00:00+00:00,14,0,2,0,2024/2025
2444544,8,True,75,2024-10-19 14:00:00+00:00,4,1,14,2,2024/2025
2444559,9,True,90,2024-10-27 14:00:00+00:00,14,1,19,2,2024/2025
2444564,10,True,95,2024-11-03 16:30:00+00:00,6,1,14,1,2024/2025
2444575,11,True,106,2024-11-10 14:00:00+00:00,11,0,14,3,2024/2025
2444585,12,True,116,2024-11-24 16:30:00+00:00,14,1,10,1,2024/2025
2444595,13,True,126,2024-12-01 13:30:00+00:00,8,0,14,4,2024/2025
2444601,14,True,131,2024-12-04 20:15:00+00:00,14,0,1,2,2024/2025
2444617,15,True,148,2024-12-07 17:30:00+00:00,16,3,14,2,2024/2025
2444625,16,True,156,2024-12-15 16:30:00+00:00,14,2,13,1,2024/2025
2444637,17,True,168,2024-12-22 14:00:00+00:00,3,3,14,0,2024/2025
2444649,18,True,180,2024-12-26 17:30:00+00:00,14,0,20,2,2024/2025
2444657,19,True,188,2024-12-30 20:00:00+00:00,15,2,14,0,2024/2025
2444665,20,True,196,2025-01-05 16:30:00+00:00,14,2,12,2,2024/2025
2444678,21,True,209,2025-01-16 20:00:00+00:00,17,1,14,3,2024/2025
2444686,22,True,217,2025-01-19 14:00:00+00:00,5,3,14,1,2024/2025
2444694,23,True,225,2025-01-26 19:00:00+00:00,14,1,9,0,2024/2025
2444706,24,True,237,2025-02-02 14:00:00+00:00,7,2,14,0,2024/2025
2444718,25,True,249,2025-02-16 16:30:00+00:00,14,0,18,1,2024/2025
2444723,26,True,254,2025-02-22 12:30:00+00:00,14,2,8,2,2024/2025
2444739,27,True,270,2025-02-26 19:30:00+00:00,10,2,14,3,2024/2025
2444745,28,True,276,2025-03-09 16:30:00+00:00,1,1,14,1,2024/2025
2444756,29,False,287,2025-03-16 19:00:00+00:00,14,0,11,0,2024/2025
2444763,30,False,294,2025-04-01 19:00:00+00:00,14,0,16,0,2024/2025
2444777,31,False,308,2025-04-06 15:30:00+00:00,13,0,14,0,2024/2025
2444786,32,False,317,2025-04-13 15:30:00+00:00,14,0,15,0,2024/2025
2444797,33,False,328,2025-04-19 14:00:00+00:00,20,0,14,0,2024/2025
2444800,34,False,332,2025-04-27 13:00:00+00:00,14,0,3,0,2024/2025
2444812,35,False,343,2025-05-03 14:00:00+00:00,14,0,4,0,2024/2025
2444824,36,False,355,2025-05-10 14:00:00+00:00,19,0,14,0,2024/2025
2444834,37,False,365,2025-05-18 14:00:00+00:00,14,0,6,0,2024/2025
2444844,38,False,375,2025-05-25 15:00:00+00:00,2,0,14,0,2024/2025
