id,minutes,yellow_cards,red_cards,gameweek
364,60,0,0,1
365,0,0,0,1
366,90,0,0,1
367,0,0,0,1
368,90,0,0,1
369,90,0,0,1
370,0,0,0,1
371,9,0,0,1
372,29,0,0,1
373,0,0,0,1
374,0,0,0,1
375,0,0,0,1
376,0,0,0,1
377,80,1,0,1
378,83,0,0,1
379,0,0,0,1
380,90,0,0,1
381,6,0,0,1
382,60,1,0,1
383,90,0,0,1
384,0,0,0,1
387,0,0,0,1
389,29,0,0,1
572,0,0,0,1
593,9,0,0,1
594,80,0,0,1
613,0,0,0,1
364,89,1,0,2
365,1,0,0,2
366,78,0,0,2
367,0,0,0,2
368,90,0,0,2
369,90,0,0,2
370,0,0,0,2
371,0,0,0,2
372,25,0,0,2
373,0,0,0,2
374,0,0,0,2
375,0,0,0,2
376,0,0,0,2
377,78,0,0,2
378,90,1,0,2
379,0,0,0,2
380,90,0,0,2
381,11,0,0,2
382,45,0,0,2
383,90,0,0,2
384,0,0,0,2
387,0,0,0,2
389,45,0,0,2
572,0,0,0,2
593,11,0,0,2
594,90,0,0,2
613,0,0,0,2
364,21,0,0,3
365,0,0,0,3
366,90,0,0,3
367,0,0,0,3
368,45,0,0,3
369,90,0,0,3
370,4,0,0,3
371,0,0,0,3
372,68,0,0,3
373,0,0,0,3
374,0,0,0,3
375,0,0,0,3
376,0,0,0,3
377,21,0,0,3
378,90,1,0,3
379,0,0,0,3
380,90,1,0,3
381,0,0,0,3
382,0,0,0,3
383,90,0,0,3
384,0,0,0,3
387,0,0,0,3
389,85,1,0,3
572,0,0,0,3
593,68,1,0,3
594,90,0,0,3
613,45,0,0,3
648,0,0,0,3
364,90,0,0,4
365,0,0,0,4
366,90,1,0,4
367,0,0,0,4
368,3,0,0,4
369,90,0,0,4
370,72,1,0,4
371,13,0,0,4
372,17,0,0,4
373,0,0,0,4
374,0,0,0,4
375,0,0,0,4
376,0,0,0,4
377,16,1,0,4
378,90,1,0,4
379,0,0,0,4
380,76,0,0,4
381,0,0,0,4
382,0,0,0,4
383,90,0,0,4
384,0,0,0,4
387,0,0,0,4
389,90,0,0,4
572,0,0,0,4
593,86,0,0,4
594,73,0,0,4
613,0,0,0,4
648,0,0,0,4
652,17,0,0,4
658,0,0,0,4
364,75,0,0,5
365,0,0,0,5
366,90,0,0,5
367,0,0,0,5
368,0,0,0,5
369,90,0,0,5
370,75,0,0,5
371,0,0,0,5
372,90,1,0,5
373,0,0,0,5
374,0,0,0,5
375,14,0,0,5
376,0,0,0,5
377,0,0,0,5
378,90,0,0,5
379,0,0,0,5
380,90,1,0,5
381,0,0,0,5
382,0,0,0,5
383,90,0,0,5
384,0,0,0,5
387,0,0,0,5
389,60,0,0,5
572,0,0,0,5
593,90,0,0,5
594,90,0,0,5
613,0,0,0,5
648,0,0,0,5
652,14,0,0,5
658,0,0,0,5
364,5,0,0,6
365,0,0,0,6
366,41,0,1,6
367,0,0,0,6
368,45,0,0,6
369,90,1,0,6
370,18,0,0,6
371,0,0,0,6
372,90,0,0,6
373,0,0,0,6
374,0,0,0,6
375,17,0,0,6
376,0,0,0,6
377,0,0,0,6
378,44,0,0,6
379,0,0,0,6
380,90,1,0,6
381,0,0,0,6
382,39,1,0,6
383,90,0,0,6
384,0,0,0,6
387,0,0,0,6
389,45,0,0,6
572,0,0,0,6
593,90,0,0,6
594,90,1,0,6
613,0,0,0,6
648,0,0,0,6
652,71,1,0,6
658,0,0,0,6
364,0,0,0,7
365,26,0,0,7
366,90,0,0,7
367,0,0,0,7
368,5,0,0,7
369,90,0,0,7
370,90,1,0,7
371,90,0,0,7
372,90,0,0,7
373,0,0,0,7
374,0,0,0,7
375,63,0,0,7
376,45,1,0,7
377,45,1,0,7
378,84,1,0,7
379,0,0,0,7
380,0,0,0,7
381,0,0,0,7
382,0,0,0,7
383,90,0,0,7
384,0,0,0,7
387,0,0,0,7
389,26,0,0,7
572,0,0,0,7
593,45,0,0,7
594,45,0,0,7
613,0,0,0,7
648,0,0,0,7
652,0,0,0,7
658,0,0,0,7
364,0,0,0,8
365,0,0,0,8
366,90,0,0,8
367,0,0,0,8
368,87,0,0,8
369,90,1,0,8
370,90,0,0,8
371,88,1,0,8
372,90,0,0,8
373,0,0,0,8
374,0,0,0,8
375,73,0,0,8
376,1,0,0,8
377,0,0,0,8
378,0,0,0,8
379,0,0,0,8
380,90,0,0,8
381,0,0,0,8
382,0,0,0,8
383,90,0,0,8
384,0,0,0,8
387,0,0,0,8
389,16,0,0,8
572,0,0,0,8
593,90,0,0,8
594,1,0,0,8
613,0,0,0,8
648,0,0,0,8
652,2,0,0,8
658,0,0,0,8
667,0,0,0,8
364,31,0,0,9
365,0,0,0,9
366,90,0,0,9
367,0,0,0,9
368,90,0,0,9
369,90,0,0,9
370,78,0,0,9
371,0,0,0,9
372,90,0,0,9
373,0,0,0,9
374,0,0,0,9
375,90,0,0,9
376,6,0,0,9
377,0,0,0,9
378,0,0,0,9
379,0,0,0,9
380,90,0,0,9
381,0,0,0,9
382,0,0,0,9
383,90,0,0,9
384,0,0,0,9
387,0,0,0,9
389,11,0,0,9
572,0,0,0,9
593,90,1,0,9
594,83,0,0,9
613,0,0,0,9
648,0,0,0,9
652,0,0,0,9
658,0,0,0,9
667,0,0,0,9
670,0,0,0,9
364,17,1,0,10
365,0,0,0,10
366,90,0,0,10
367,0,0,0,10
368,90,1,0,10
369,90,1,0,10
370,0,0,0,10
371,0,0,0,10
372,90,0,0,10
373,0,0,0,10
374,0,0,0,10
375,83,0,0,10
376,6,0,0,10
377,0,0,0,10
378,0,0,0,10
379,0,0,0,10
380,90,1,0,10
381,0,0,0,10
382,0,0,0,10
383,90,0,0,10
384,0,0,0,10
387,0,0,0,10
389,6,0,0,10
572,0,0,0,10
593,90,0,0,10
594,90,0,0,10
613,0,0,0,10
648,0,0,0,10
652,83,1,0,10
658,0,0,0,10
667,0,0,0,10
670,0,0,0,10
673,0,0,0,10
364,90,0,0,11
365,0,0,0,11
366,90,0,0,11
367,0,0,0,11
368,78,0,0,11
369,56,0,0,11
370,11,0,0,11
371,33,0,0,11
372,33,0,0,11
373,0,0,0,11
374,0,0,0,11
375,74,0,0,11
376,0,0,0,11
377,0,0,0,11
378,0,0,0,11
379,0,0,0,11
380,90,0,0,11
381,0,0,0,11
382,0,0,0,11
383,90,0,0,11
384,0,0,0,11
387,0,0,0,11
389,15,0,0,11
572,0,0,0,11
593,90,0,0,11
594,90,0,0,11
613,0,0,0,11
648,0,0,0,11
652,90,0,0,11
658,0,0,0,11
667,0,0,0,11
670,0,0,0,11
673,0,0,0,11
364,90,0,0,12
365,0,0,0,12
366,90,0,0,12
367,0,0,0,12
368,55,0,0,12
369,90,0,0,12
370,67,0,0,12
371,55,0,0,12
372,85,0,0,12
373,0,0,0,12
374,0,0,0,12
375,22,0,0,12
376,0,0,0,12
377,0,0,0,12
378,0,0,0,12
379,0,0,0,12
380,0,0,0,12
381,0,0,0,12
382,4,0,0,12
383,90,0,0,12
384,0,0,0,12
387,34,0,0,12
389,22,0,0,12
572,0,0,0,12
593,90,0,0,12
594,90,0,0,12
613,0,0,0,12
648,0,0,0,12
652,34,0,0,12
658,0,0,0,12
667,0,0,0,12
670,0,0,0,12
673,0,0,0,12
364,90,0,0,13
365,0,0,0,13
366,65,0,0,13
367,0,0,0,13
368,65,0,0,13
369,90,0,0,13
370,0,0,0,13
371,0,0,0,13
372,24,0,0,13
373,0,0,0,13
374,0,0,0,13
375,0,0,0,13
376,0,0,0,13
377,34,0,0,13
378,79,1,0,13
379,0,0,0,13
380,90,1,0,13
381,0,0,0,13
382,10,0,0,13
383,90,0,0,13
384,0,0,0,13
387,34,0,0,13
389,90,0,0,13
572,0,0,0,13
593,55,0,0,13
594,55,0,0,13
613,0,0,0,13
648,0,0,0,13
652,24,0,0,13
658,0,0,0,13
667,0,0,0,13
670,0,0,0,13
673,0,0,0,13
364,45,0,0,14
365,11,0,0,14
366,90,0,0,14
367,0,0,0,14
368,0,0,0,14
369,90,0,0,14
370,0,0,0,14
371,0,0,0,14
372,58,0,0,14
373,0,0,0,14
374,0,0,0,14
375,78,0,0,14
376,0,0,0,14
377,58,1,0,14
378,0,0,0,14
379,45,1,0,14
380,0,0,0,14
381,0,0,0,14
382,58,0,0,14
383,90,0,0,14
384,0,0,0,14
387,0,0,0,14
389,31,0,0,14
572,31,0,0,14
593,90,0,0,14
594,90,0,0,14
613,0,0,0,14
648,0,0,0,14
652,90,1,0,14
658,0,0,0,14
667,0,0,0,14
670,0,0,0,14
673,0,0,0,14
691,0,0,0,14
364,90,0,0,15
365,0,0,0,15
366,75,0,0,15
367,0,0,0,15
368,0,0,0,15
369,90,0,0,15
370,0,0,0,15
